event_collection,birthdate,author_first_name,author_last_name,title_minor,excerpt,link,keywords,reading_category
aswl1_e1,1938-,Charles,Simic,Charon’s Cosmology,"Charon’s Cosmology
 
 With only his dim lantern
 To tell him where he is
 And every time a mountain
 Of fresh corpses to load up
 
 Take them to the other side
 Where there are plenty more
 I’d say by now he must be confused
 As to which side is which
 
 I’d say it doesn’t matter
 No one complains he’s got
 Their pockets to go through
 In one a crust of bread in another a sausage
 
 Once in a long while a mirror
 Or a book which he throws
 Overboard into the dark river
 Swift and cold and deep
 
",https://static1.squarespace.com/static/58c0fdfd5016e17d84d94ce3/t/5bd004fb652dea566c3005a8/1540359420100/aswl1U1CharonsCosmologyCharlesSimic.pdf,"['myth', 'Greek', 'underworld', 'death', 'allusion']",Poem
aswl1_e1,1939-,Margaret,Atwood,Eurydice,"Eurydice
 
 He is here, come down to look for you.
 It is the song that calls you back,
 a song of joy and suffering
 equally: a promise:
 that things will be different up there
 than they were last time.
 
 You would rather have gone on feeling nothing,
 emptiness and silence; the stagnant peace
 of the deepest sea, which is easier
 than the noise and flesh of the surface.
 
 You are used to these blanched dim corridors,
 you are used to the king
 who passes you without speaking….
 
",https://static1.squarespace.com/static/58c0fdfd5016e17d84d94ce3/t/5bd00528ec212d4c14667266/1540359464821/aswl1U1EurydiceMargaretAtwood.pdf,"['Orpheus', 'Eurydice', 'myth', 'Greek', 'feminism', 'relationship']",Poem
aswl1_e1,1939-,Margaret,Atwood,Siren Song,"Siren Song
 
 This is the one song everyone
 would like to learn: the song
 that is irresistible:
 
 the song that forces men
 to leap overboard in squadrons
 even though they see beached skulls
 
 the song nobody knows
 because anyone who had heard it
 is dead, and the others can’t remember.
 Shall I tell you the secret
 and if I do, will you get me
 out of this bird suit?
 I don’t enjoy it here
 squatting on this island
 looking picturesque and mythical
 with these two feathery maniacs,
 I don’t enjoy singing
 this trio, fatal and valuable…
 
 Click on title to view online.",https://static1.squarespace.com/static/58c0fdfd5016e17d84d94ce3/t/5bd005e21905f4f8481ea931/1540359650946/aswl1U1SirenSongMargaretAtwood.pdf,"['myth', 'Greek', 'Odyssey', 'Homer', 'feminism', 'revision', 'allusion']",Poem
aswl1_e1,1809-1892,Alfred,Tennyson,Ulysses,"Ulysses
 
 It little profits that an idle king,
 By this still hearth, among these barren crags,
 Match'd with an aged wife, I mete and dole
 Unequal laws unto a savage race,
 That hoard, and sleep, and feed, and know not me.
 I cannot rest from travel; I will drink
 Life to the lees. All times I have enjoy'd
 Greatly, have suffer'd greatly, both with those
 That loved me, and alone; on shore, and when
 Thro' scudding drifts the rainy Hyades
 Vext the dim sea. I am become a name;
 For always roaming with a hungry heart
 Much have I seen and known,-- cities of men
 And manners, climates, councils, governments,
 Myself not least, but honor'd of them all,--
 And drunk delight of battle with my peers,
 Far on the ringing plains of windy Troy.
 I am a part of all that I have met;
 Yet all experience is an arch wherethro'
 Gleams that untravell'd world whose margin fades
 For ever and for ever when I move….
 
",https://static1.squarespace.com/static/58c0fdfd5016e17d84d94ce3/t/5bd0061108522908f03409d1/1540359697945/aswl1U1UlyssesLordAlfredTennyson.pdf,"['Homer', 'Odyssey', 'myth', 'epic', 'revision', 'senescence', 'old age', 'wisdom']",Poem
aswl1_e1,1887-1962,Robinson,Jeffers,"Shine, Perishing Republic","Shine, Perishing Republic
 
 While this America settles in the mould of its vulgarity, heavily thickening
 to empire
 And protest, only a bubble in the molten mass, pops and sighs out, and the
 mass hardens,
 I sadly smiling remember that the flower fades to make fruit, the fruit rots
 to make earth.
 Out of the mother; and through the spring exultances, ripeness and deca-
 dence; and home to the mother.
 
 You making haste haste on decay: not blameworthy; life is good, be it stub-
 bornly long or suddenly
 A mortal splendor: meteors are not needed less than mountains:
 shine, perishing republic.
 But for my children, I would have them keep their distance from the thick-
 ening center; corruption
 Never has been compulsory, when the cities lie at the monster's feet there
 are left the mountains.
 And boys, be in nothing so moderate as in love of man, a clever servant,
 insufferable master.
 There is the trap that catches noblest spirits, that caught--they say--
 God, when he walked on earth.
 
",https://static1.squarespace.com/static/58c0fdfd5016e17d84d94ce3/t/5bd005cfe5e5f0ae9de7e307/1540359632259/aswl1U1ShinePerishingRepublicRobinsonJeffers.pdf,"['analogy', 'republic', 'United States', 'Rome', 'decay', 'decadence', 'decline', 'nation', 'history']",Poem
aswl1_e1,1913-1980,Muriel,Rukeyser,Myth,"Myth
 
 Long afterward, Oedipus, old and blinded, walked the
 roads. He smelled a familiar smell. It was
 the Sphinx. Oedipus said, 'I want to ask one question.
 Why didn't I recognize my mother?' 'You gave the
 wrong answer,' said the Sphinx. 'But that was what
 made everything possible,' said Oedipus. 'No,' she said.
 'When I asked, What walks on four legs in the morning,
 two at noon, and three in the evening, you answered,
 Man. You didn't say anything about woman.'
 'When you say Man,' said Oedipus, 'you include women
 too. Everyone knows that.' She said, 'That's what
 you think.'
 
",https://static1.squarespace.com/static/58c0fdfd5016e17d84d94ce3/t/5bd0059c1905f4f8481ea769/1540359581748/aswl1U1MythMurielRukeyser.pdf,"['revision', 'feminism', 'Oedipus', 'Sophocles', 'Sphinx', 'riddle', 'myth']",Poem
aswl1_e1,1564-1616,William,Shakespeare,Orpheus,"Orpheus
 
 Orpheus with his lute made trees
 And the mountain tops that freeze
 Bow themselves when he did sing:
 To his music plants and flowers
 Ever sprung; as sun and showers
 There had made a lasting spring.
 
 Every thing that heard him play,
 Even the billows of the sea,
 Hung their heads and then lay by.
 In sweet music is such art,
 Killing care and grief of heart
 Fall asleep, or hearing, die.
 
",https://static1.squarespace.com/static/58c0fdfd5016e17d84d94ce3/t/5bd005a7f4e1fc2e82430cca/1540359592034/aswl1U1OrpheusWilliamShakespeare.pdf,"['music', 'Orpheus', 'revision', 'myth', 'mythology', 'Eurydice']",Poem
aswl1_e1,1922-1987,Howard,Moss,King Midas,"King Midas
 
 I The King’s Speech
 
 The palace clocks are stiff as coats of mail.
 Time stopped; I flicked it with my fingernail.
 My taste is shattered on these works of art
 It fathers by a touch: My bread’s too rich,
 My butter much too golden, and my meat
 A nugget on my plate as cold as ice;
 Fresh water in my throat turns precious there,
 Where every drop becomes a millionaire…
 
",https://static1.squarespace.com/static/58c0fdfd5016e17d84d94ce3/t/5bd007e424a69454243d2ae7/1540360165904/aswl1U1KingMidasHowardMoss.pdf,"['myth', 'mythology', 'gold', 'greed', 'avarice', 'moral', 'apologue', 'money', 'economics']",Poem
aswl1_e1,1688-1744,Alexander,Pope,Chorus of Athenians,"Chorus Of Athenians
 
 Strophe I.
 Ye shades, where sacred truth is sought;
 Groves, where immortal Sages taught;
 Where heav'nly visions of Plato fir'd,
 And Epicurus lay inspir'd!
 In vain your guiltless laurels stood
 Unspotted long with human blood.
 War, horrid war, your thoughtful walks invades,
 And steel now glitters in the Muses' shades.
 
 Antistrophe I.
 Oh heav'n-born sisters! source of art!
 Who charm the sense, or mend the heart;
 Who lead fair Virtue's train along,
 Moral Truth, and mystic Song!
 To what new clime, what distant sky,
 Forsaken, friendless, shall ye fly?
 Say, will you bless the bleak Atlantic shore?
 Or bid the furious Gaul be rude no more?
 
",https://static1.squarespace.com/static/58c0fdfd5016e17d84d94ce3/t/5bd00508e2c4833fefe9e00a/1540359433135/aswl1U1ChorusOfAtheniansAlexanderPope.pdf,"['Plato', 'Greek', 'philosophy', 'Epicurus', 'oxymoron', 'strophe', 'antistrophe', 'civilization', 'barbarism', 'history']",Poem
aswl1_e1,1757-1827,William,Blake,Why Was Cupid A Boy,"Why Was Cupid a Boy
 
 Why was Cupid a boy,
 And why a boy was he?
 He should have been a girl,
 For aught that I can see.
 
 For he shoots with his bow,
 And the girl shoots with her eye,
 And they both are merry and glad,
 And laugh when we do cry.
 
 And to make Cupid a boy
 Was the Cupid girl's mocking plan;
 For a boy can't interpret the thing
 Till he is become a man.
 
 And then he's so pierc'd with cares,
 And wounded with arrowy smarts,
 That the whole business of his life
 Is to pick out the heads of the darts.
 
 'Twas the Greeks' love of war
 Turn'd Love into a boy,
 And woman into a statue of stone--
 And away fled every joy.
 
",https://static1.squarespace.com/static/58c0fdfd5016e17d84d94ce3/t/5bd0063653450a0889c6a1e1/1540359734166/aswl1U1WhyWasCupidABoyWilliamBlake.pdf,"['myth', 'mythology', 'Cupid', 'eros', 'relationship', 'feminism', 'gender']",Poem
aswl1_e1,1791-1852,John,Howard Payne,Sibyl,"Sibyl
 
 This is the glamour of the world antique:
 The thyme-scents of Hymettus fill the air,
 And in the grass narcissus-cups are fair.
 The full brook wanders through the ferns to seek
 The amber haunts of bees; and on the peak
 Of the soft hill, against the gold-marged sky,
 She stands, a dream from out the days gone by.
 Entreat her not. Indeed, she will not speak!
 Her eyes are full of dreams; and in her ears
 There is the rustle of immortal wings;
 And ever and anon the slow breeze bears
 The mystic murmur of the songs she sings.
 Entreat her not: she sees thee not, nor hears
 Aught but the sights and sounds of bygone springs.
 
",https://static1.squarespace.com/static/58c0fdfd5016e17d84d94ce3/t/5bd005da24a69454243d1d0b/1540359642756/aswl1U1SibylJohnHowardPayne.pdf,"['muse', 'myth', 'inspiration', 'creativity', 'irony', 'prophecy']",Poem
aswl1_e1,1892-1950,Edna,St. Vincent Millay,Daphne,"Daphne
 
 Why do you follow me?—
 Any moment I can be
 Nothing but a laurel-tree.
 
 Any moment of the chase
 I can leave you in my place
 A pink bough for your embrace.
 
 Yet if over hill and hollow
 Still it is your will to follow,
 I am off;—to heel, Apollo!
 
",https://static1.squarespace.com/static/58c0fdfd5016e17d84d94ce3/t/5bd00511f4e1fc2e824308e4/1540359441873/aswl1U1DaphneEdnaSt.VincentMillay.pdf,"['myth', 'Greek', 'Apollo', 'feminism', 'relationship', 'romance', 'romantic', 'mythology']",Poem
aswl1_e1,1897-1970,Louise,Bogan,Medusa,"Medusa
 
 I had come to the house, in a cave of trees,
 Facing a sheer sky.
 Everything moved,—a bell hung ready to strike,
 Sun and reflection wheeled by.
 
 When the bare eyes were before me
 And the hissing hair,
 Held up at a window, seen through a door.
 The stiff bald eyes, the serpents on the forehead
 Formed in the air.
 
 This is a dead scene forever now.
 Nothing will ever stir.
 The end will never brighten it more than this,
 Nor the rain blur.
 
 The water will always fall, and will not fall,
 And the tipped bell make no sound.
 The grass will always be growing for hay
 Deep on the ground.
 
 And I shall stand here like a shadow
 Under the great balanced day,
 My eyes on the yellow dust, that was lifting in the wind,
 And does not drift away.
 
",https://static1.squarespace.com/static/58c0fdfd5016e17d84d94ce3/t/5bd0059153450a0889c69c92/1540359569464/aswl1U1MedusaLouiseBogan.pdf,"['myth', 'mythology', 'creativity', 'creative process', 'allusion']",Poem
aswl1_e1,1893-1967,Dorothy,Parker,Penelope,"Penelope
 
 In the pathway of the sun,
 In the footsteps of the breeze,
 Where the world and sky are one,
 He shall ride the silver seas,
 He shall cut the glittering wave.
 I shall sit at home, and rock;
 Rise, to heed a neighbor's knock;
 Brew my tea, and snip my thread;
 Bleach the linen for my bed.
 They will call him brave.
 
",https://static1.squarespace.com/static/58c0fdfd5016e17d84d94ce3/t/5bd005b01905f4f8481ea7dd/1540359600714/aswl1U1PenelopeDorothyParker.pdf,"['Trojan War', 'Odysseus', 'Homer', 'mythology', 'myth', 'epic', 'feminism', 'relationship', 'domesticity', 'gender roles', 'gender']",Poem
aswl1_e1,1913-1980,Robert,Hayden,Perseus,"Perseus
 
 Her sleeping head with its great gelid mass
 of serpents torpidly astir
 burned into the mirroring shield--
 a scathing image dire
 as hated truth the mind accepts at last
 and festers on.
 I struck. The shield flashed bare.
 
 Yet even as I lifted up the head
 and started from that place
 of gazing silences and terrored stone,
 I thirsted to destroy.
 None could have passed me then--
 no garland-bearing girl, no priest
 or staring boy--and lived.
 
",https://static1.squarespace.com/static/58c0fdfd5016e17d84d94ce3/t/5bd005b81905f4f8481ea822/1540359608877/aswl1U1PerseusRobertHayden.pdf,"['myth', 'mythology', 'Perseus', 'Medusa', 'gelid', 'torpid', 'dire', 'truth', 'validity', 'knowledge']",Poem
aswl1_e1,1865-1939,William,Butler Yeats,Leda and the Swan,"Leda and the Swan
 
 A sudden blow: the great wings beating still
 Above the staggering girl, her thighs caressed
 By the dark webs, her nape caught in his bill,
 He holds her helpless breast upon his breast.
 
 How can those terrified vague fingers push
 The feathered glory from her loosening thighs?
 And how can body, laid in that white rush,
 But feel the strange heart beating where it lies?
 
 A shudder in the loins engenders there
 The broken wall, the burning roof and tower
 And Agamemnon dead.
 Being so caught up,
 So mastered by the brute blood of the air,
 Did she put on his knowledge with his power
 Before the indifferent beak could let her drop?
 
",https://static1.squarespace.com/static/58c0fdfd5016e17d84d94ce3/t/5bd00550e5e5f0ae9de7dfb2/1540359505565/aswl1U1LedaAndTheSwanWilliamButlerYeats.pdf,"['Agamemnon', 'myth', 'mythology', 'rape', 'Zeus', 'Clytemnestra', 'prolepsis', 'allusion']",Poem
aswl1_e1,1812-1889,Robert,Browning,Eurydice to Orpheus,"Eurydice to Orpheus
 
 But give them me, the mouth, the eyes, the brow!
 Let them once more absorb me! One look now
 Will lap me round for ever, not to pass
 Out of its light, though darkness lie beyond:
 Hold me but safe again within the bond
 Of one immortal look! All woe that was,
 Forgotten, and all terror that may be,
 Defied,—no past is mine, no future: look at me!
 
",https://static1.squarespace.com/static/58c0fdfd5016e17d84d94ce3/t/5bd0053ff4e1fc2e82430a29/1540359488277/aswl1U1EurydiceToOrpheusRobertBrowning.pdf,"['Eurydice', 'Orpheus', 'myth', 'mythology', 'woe']",Poem
aswl1_e1,1886-1961,Hilda,Doolittle,Leda,"Leda
 
 Where the slow river
 meets the tide,
 a red swan lifts red wings
 and darker beak,
 and underneath the purple down
 of his soft breast
 uncurls his coral feet.
 
 Through the deep purple
 of the dying heat
 of sun and mist,
 the level ray of sun-beam
 has caressed
 the lily with dark breast,
 and flecked with richer gold
 its golden crest….
 
",https://static1.squarespace.com/static/58c0fdfd5016e17d84d94ce3/t/5bd0057aeef1a11c4c6f80ce/1540359546853/aswl1U1LedaHildaDoolittle.pdf,"['myth', 'mythology', 'Leda', 'Zeus', 'rape']",Poem
aswl1_e1,1923-1997,Denise,Levertov,Eros,"Eros
 
 The flowerlike
 animal perfume
 in the god’s curly
 hair —
 
 don’t assume
 that like a flower
 his attributes
 are there to tempt
 
 you or
 direct the moth’s
 hunger —
 simply he is
 the temple of himself,
 
 hair and hide
 a sacrifice of blood and flowers
 on his altar
 
 if any worshipper
 kneel or not.
 
",https://static1.squarespace.com/static/58c0fdfd5016e17d84d94ce3/t/5bd0051de4966b4195796e39/1540359454155/aswl1U1ErosDeniseLevertov.pdf,"['love', 'Eros', 'erotic', 'desire', 'sexuality', 'sensuality']",Poem
aswl1_e1,1892-1982,Archibald,MacLeish,The Rock in the Sea,"The Rock in the Sea
 
 Think of our blindness where the water burned!
 Are we so certain that those wings, returned
 And turning, we had half discerned
 Before our dazzled eyes had surely seen
 The bird aloft there, did not mean?—
 Our hearts so seized upon the sign!
 
 Think how we sailed up-wind, the brine
 Tasting of daphne, the enormous wave
 Thundering in the water cave—
 Thunder in stone. And how we beached the skiff
 And climbed the coral of that iron cliff
 And found what only in our hearts we’d heard—
 The silver screaming of that one, white bird:
 The fabulous wings, the crimson beak
 That opened, red as blood, to shriek
 And clamor in that world of stone,
 No voice to answer but its own.
 
 What certainty, hidden in our hearts before,
 Found in the bird its metaphor?
 
",https://static1.squarespace.com/static/58c0fdfd5016e17d84d94ce3/t/5bd006069140b7dc42c07ef8/1540359686107/aswl1U1TheRockInTheSeaArchibaldMacLeish.pdf,"['bird', 'metaphor', 'ambiguity', 'ambiguous', 'sea', 'water']",Poem
aswl1_e1,1899-1986,Jorge,Luis Borges,The Labryinth,"The Labyrinth I
 
 Zeus himself could not undo the web
 of stone closing around me.
 I have forgotten
 the men I was before; I follow the hated
 path of monotonous walls
 that is my destiny.
 Severe galleries
 which curve in secret circles
 to the end of the years.
 Parapets
 cracked by the days' usury.
 
 In the pale dust I have discerned
 signs that frighten me.
 In the concave
 evenings the air has carried a roar
 toward me, or the echo of a desolate howl.
 
 I know there is an Other in the shadows,
 whose fate it is to wear out the long solitudes
 which weave and unweave this Hades
 and to long for my blood and devour my death.
 
 Each of us seeks the other.
 If only this
 were the final day of waiting….
 
",https://static1.squarespace.com/static/58c0fdfd5016e17d84d94ce3/t/5bd005fa104c7b8dc21eac18/1540359674245/aswl1U1TheLabyrinthJorgeLuisBorges.pdf,"['Zeus', 'minotaur', 'maze', 'labyrinth', 'postmodern', 'Hades', 'modernity', 'underworld', 'Otherness', 'Other', 'Othered', 'myth', 'mythology']",Poem
