term,icons,part_of_speech,derivations,etymology,roots,highlight,application,exploration,quote,author,source_major,event_collection
dualism,"['common', 'concept']",n.,['dualistic (adj.)'],"From Latin dualis, from duo ""two"". 1755 As a term in philosophy, from French dualisme; also used in theological senses.

",['dualis'],"['two', 'the division of something conceptually into two opposed or contrasted aspects or the state of being so divided.']","['know that dualism is a foundational concept and should be given the utmost attention.', 'identity dualistic elements in a text.', 'consider how knowledge itself is built upon dualism.', 'consider the binary opposition present in language: hot/cold, day/night, plant/animal.', 'consider exploring whether there exists an entity that cannot be bifurcated.', 'be introduced to the mathematician René Descartes, his Meditations, and his method of deductive reasoning.'
]","['What is dualism?', 'How does an individual have a “dual” nature?', 'Is the mind separate from the body?', 'What is the relationship between the mind and the body?', 'Who is René Descartes?', 'What is the relationship between dualism and creation myths?', 'What is deduction?', 'What is cogito ergo sum?', 'What is skepticism?']","The theory of expression inevitably presupposes a certain dualism between the inner and outer elements and the explicit primacy of the former, since each act of objectification (expression) goes from inside out.

","Valentin N. Volosinov
",Verbal Interaction,aswl1_e1
end stop,"['common', 'concept']",n.,"['end stop (v.)', 'end-stopped (adj.)']",Ending a line of poetry with a punctuation mark or a pause in speaking to signal the end of a syntagmatic unit.,,['ending a line of poetry with a punctuation mark '],"['know that end stop is the opposite of enjambment.', 'distinguish between an end stop and an enjambment in poetry.', 'explore the impact that end stop has on pacing',
'explore the emphasis that end stop may give to the words or images that precede it.'
]","['Might the end stop add emphasis the word or image preceding it?', 
'How does the end stop effect the pacing of the poem?']","From the expansive verse paragraphs of the opening three books, we find now that the epic narrator’s sentences have shortened, his figurative language has been trimmed, his pentameter lines more frequently end-stopped.  ","Rachel Falconer
","“Heterochronic Representations of the Fall: Bakhtin, Milton, DeLillo”",aswl1_e1
enjambment,"['common', 'concept']",n.,"['enjambed (adj.)', 'enjamb (v.)']","1837, from French enjamber “to stride over”, from en- + jambe “leg.” When a line of verse does not have an end stop.",['enjambement'],['when a line of verse does not have an end stop'],"['know that enjambment is the opposite of end stop.', 'distinguish between an end stop and an enjambment in poetry.', 'explore the impact that enjambment has on pacing and the connection between the words and images on the enjambed lines.']","[
'What is the relationship between enjambed lines in the poem?', 
'How does the enjambment effect the pacing of the poem?']","The centrifugality of the enjambments transforms what would in prose be an immediately graspable scene – ‘So much depends upon a red wheelbarrow glazed with rain water beside the white chickens’ – into a spectacular chronotopic display.

","Joy Ladin
",“ ‘ It Was Not Death’ : The Poetic Career of the Chronotype”,aswl1_e1
epithet,"['device', 'common', 'concept']",n.,"['epithetic (adj.)', 'epithetical (adj.)']","1570s, “descriptive name for a person or thing”, from Middle French épithète or directly from Latin epitheton, from Greek epitheton “something added”, Noun use of adjective “attributed, added, assumed”, from epitithenai “to add on”, from epi “in addition” + tithenai “to put.” 

","['epitheton', ' epi-', '-tithenai']",['descriptive name for a person or thing'],"['be aware of the history of titles and the impact of titles upon our understanding.', 'work to earn titles in the classroom, e.g: the Earl of Tardiness or the Duke of Notes.'
]","['What types of titles were present in Greek society?',
'Is there any relationship between Greek gods having titles and our own titles?', 
'Why is there a history of epithets?', 
'What is the function of titles?',  
'What do epithets suggest about their particular societies?', 
'Are titles a good thing or a bad thing?', 
'What is your title?', ]","[F]or having put an end to the feral wandering of these few giants, so that they became the princes of the gentes, he received the epithet Stator, stayer or establisher.

","Giambattista Vico
",The New Science,aswl1_e1
etiology,['concept'],n.,"['etiologic (adj.)', 'etiological (adj.)']","1550s “science of causes or causation” from Late Latin aetiologia, from Greek aitiologia “statement of cause,” from aitia “cause, responsibility” from root ai “to give, allot” + -logia “a speaking.”","['akita', 'ai', '-logia']",['science of causes or causation; statement of cause'],"['explore the relationship between cause and effect.', 'attempt to explore first causes.',
'attempt to discern a cause from its effect.']","['Does every effect have a cause and vice versa?', 
'Is it possible that the effect is the cause?', 
'What is the relationship between causality and determinsim?',
'Is it possible to misidentify a cause?', 
'What is the difference between causation and correlation?', 
'Is it possible that etiology itself leads to an infinite regression?']","These three—history, etiology, analogy—are grouped under the literal sense. For it is called history, as Augustine expounds, whenever anything is simply related: it is called etiology when its cause is assigned, [and] it is called analogy whenever the truth of one text of Scripture is shown not to contradict the truth of another.
","St. Thomas Aquinas
",Summa Theologica,aswl1_e1
figurative,"['essential', 'common']",adj.,"['figuratively (adj.)', 'figure (n.)']","Late 1400s “emblematical”, from Old French figuratif “metaphorical”, from Late Latin figurativus. From figurat-, past participle stem of Latin figurare “to form, shape”, from figura “a shape, form, figure”. From late 14c of speech, language, etc., “allegorical, metaphoric, involving figures of speech”.","['figurat', ' figurare', ' figuratif ']","['emblematical; metaphorical; allegorical', 'metaphoric', 'involving figures of speech']","['know that figurative is the opposite of literal.', 'consider the term “figurative” in relation to  abstract and concrete.', 'explore whether these terms apply to other disciplines as well.']","['What is the purpose of figurative language?',
'Does figurative language help or hinder communication?',
'How do other disciplines make us of “figures”?']","My opponents will add that their writings are not fiction but rather figures, to use the correct term, and their authors are figurative writers. O silly subterfuge! As if I were likely to believe that two things to all appearances exactly alike should gain the power of different effects by mere change or difference of name.

","Giovanni Boccaccio
",Genealogy of the Gentile Gods,aswl1_e1
imagery,"['device', 'essential', 'common', 'concept']",n. pl.,"['image (n.)', ' sing.', 'imagine (v.)', 'imagistic (adj.)']","1200s “artificial representation that looks like a person or thing"", from Old French image ""image, likeness; figure, drawing, portrait; reflection; statue"", 1100s imagene, from Latin imaginem ""copy, imitation, likeness; statue, picture"", also ""phantom, ghost, apparition"", figuratively ""idea, appearance"" from stem of imitari ""to copy, imitate.”, Early 1300s ""reflection in a mirror""., Sense of ""public impression"" in isolated cases from 1908 but not in common use until the jargon of advertising and public relations ~ 1958., Modern, ""visual motifs and aesthetics used in film and literature"".","['imago', ' imitari']","['artificial representation that looks like a person or thing', 'visual motifs and aesthetics used in film and literature']","['recongize the use of imagery in poetry and prose.', 'explore the possible significance of an image for the meaning of a text.', 'utilize imagery in our own writing.', 'consider why imagery can be effective in communicating a message.']","['Why do writers use imagery?', 
'How do we utilize imagery in our everyday lives?', 
'Is it possible to conceive of an image that is completely fictional?', 
'Aside form textual images, what other types of images are there?', 
'Can imagery be persuasive?']","What [], can oratorical imagery effect? Well, it is able in many ways to infuse vehemence and passion into spoken words, while more particularly when it is combined with the argumentative passages it not only persuades the hearer but actually makes him its slave.

","Pseudo-Longinus
",On the Sublime,aswl1_e1
investigation,"['essential', 'common', 'concept']",n.,"['investigate (v.)', 'investigatory (adj.)']","Early 1500s from Old French investigacion, from Latin investigationem “a searching into, a searching for”, Noun of action “to trace out, search after”, Figuratively “search into, investigate”, from in- “in, into” + vestigare “to track, trace,” from vestigium “a footprint, a track.”",,"['a searching into', 'a searching for; to trace out', 'search after']","['understand what is meant by “investigating” a text.', 'understand that we search for “evidence” not for “clues.""']","['What does it mean to investigate a text?', 
'Is the investigation of a crime analogous to the investigation of a text?', 'How so?', 
'When conducting an investigation should one have an idea of where the investigation might lead?',
'If we are investigating a text, what is its crime?']","I am convinced that the method of teaching which approaches most nearly to the method of investigation is incomparably the best; since, not content with serving up a few barren and lifeless truths, it leads to the stock on which they grew.

","Edmund Burke
",A Philosophical Inquiry Into the Origin of Our Ideas of the Sublime and Beautiful,aswl1_e1
juxtaposition,"['device', 'essential', 'common', 'concept']",n.,"['juxtapose (v.)', 'juxtaposed (adj.)']","1660s, from French juxtaposition (1700s), from Latin iuxta “beside, very near, close to, near at hand” + French position. Latin iuxta is a contraction of iugista adv., superlative of adjective iugos “closely connected,” from iungere “to join.”","['iuxta-', '-position']","['beside', 'very near', 'close to', 'near at hand; closely connected']","['be aware of the usefulness of juxtaposition within a text and within analysis of a text.', 'view juxtaposition as a way of “comparing and contrasting.""', 
'consider the relationship between juxtaposed objects as either oppositional or complementary.']","['What is the relationship between two juxtaposed objects?', 
'How might we utilize juxtaposition in our everyday lives?', 
'How is it useful to compare two dissimilar objects?', 
'How is it useful to contrast two similar objects?']","Such a kind of juxtaposition may likewise have this use, that whilst the artist is amusing himself in the contemplation of other arts, he may habitually transfer the principles of those arts to’ that which he professes; which ought to be always present to his mind, and to which everything is to be referred.

","Sir Joshua Reynolds
",Discourses on Art,aswl1_e1
leitmotif,"['device', 'common', 'concept']",n.,,"1876, “a musical figure to which some definite meaning is attached”, from German Leitmotiv, literally “lead motive”, from leiten “to lead” + Motivs “motive.” Associated with Wagnerian musical drama.","['leiten-', '-motivs']","['a musical figure to which some definite meaning is attached', 'lead motive']","['explore the difference between a leitmotif and a motif.', 'consider the use leitmotifs in popular culture, fine art, literature, or music.']","['Are leitmotifs and motifs the same thing?', 
'What is the difference between them?', 
'How can we use the concept of leitmotif to complicate a motif?', 
'What is the function of a leitmotif?', 
'What does it mean that we can identify patterns in literature and in science?', 
'Do patterns exist or do we create them?', ]","Men, for whom we are told women were made, have too much occud the thoughts of women; and this association has so entangled love with all their motives of action; and, to harp a little on an old string, having been solely employed either to prepare themselves to excite love, or actually putting their lessons in practice, they cannot live without love.

","Mary Wollstonecraft
",A Vindication of the Rights of Woman,aswl1_e1
liminal,['common'],adj.,"['liminary (n.)', 'liminality (n.)']","1884, from Latin limen “threshold” + -al.","['limen-', '-al']",['threshold'],"['understand the importance of the opening of a text for that which follows.', 'consider how the opening of a text is a threshold which readers pass through.', 'consider how the liminal may also be seen as the space between a text and a reader.', 'consider how we are in a liminal space.']","['What in the beginning of the text suggests what is to come?', 
'Does the opening of the text suggest an analytical frame?',  
'Do we ever arrive at our destinations or merely traverse liminalities?',
'Is “consciousness” the liminal space between the unconscious and reality?',
'How are you at a threshold?', ]","If ‘the Dixie Pike,’ as Jean Toomer put the matter in Cane, ‘has grown from a goat path in Africa,’ then the black vernacular tradition stands as its signpost, at that liminal crossroads of culture contact and ensuing difference at which Africameets Afro-America.

","Henry Louis Gates, Jr. 
",The Signifying Monkey,aswl1_e1
line,"['device', 'essential', 'common', 'concept']",n.,,"1560s, “any short piece of writing” (especially poetry), from “line” in the sense “row of verse”, attested since late Old English (answering to Latin versus, Greek stikhos). Hence “a few words in writing, a short letter”', 1640s), 1882, ""Words of an actor’s part”, 1670s, “Outlines, plans” (of a building, ship, etc.); hence, figuratively, “plan, model” of anything (1757)., Lines of communication originally were transverse trenches in siegeworks, from “line” in a military sense “trench, rampart,” a collective singular from 1690s given a new currency in World War I.",,['row of verse'],"['know that in poetry there are lines (not sentences) and stanzas (not paragraphs).', 'know that a line can contain a caesura, and either be enjambed or be end-stopped.', 'know how to cite a line of poetry in their writing.', 'know how to properly quote two lines of poetry across a line break.', 'examine the symmetry or asymmetry of a poem based upon line length and the number of lines in each stanza.', 'be aware that we also speak of lines in drama.']","['What is a line of poetry?', 
'How do we cite line numbers?', 
'Why should we pay attention to whether a line is enjambed or end-stopped?', 
'What effect can an equal or unequal line length (or stanza length) convey?']","The number of scenes in each act has never been prescribed by rule, but since the whole act must have a certain number of lines which make its length proportionate to that of the others, one may include in it more or fewer scenes depending on whether they are long or short to fill up the time which the whole act is to consume.

","Pierre Corneille
","Of the Three Unities of Action, Time, and Place",aswl1_e1
line break,"['device', 'essential', 'common', 'concept']",n.,,Referring to the space between stanzas in a poem.,,['the space between stanzas in a poem'],"['know the two ways that a line of poetry can break: enjambment and end-stop.', 'experience a concrete poem where the shape enhances the significance of the text.']","['How does the line break effect the structure of the poem?', 
'How might the line break work to emphasize, deemphasize, or connect various aspects of the poem?', 
'What is the visual effect of the poem?', 
'How can line breaks be used to create concrete effects?']","This is suggested in the pun propelled by an emphatic, odd line break: 'I 
have seen you sit / Hours,' encrypting, 'I have seen you sit[,] / [ours].'",Rachel Blau Duplessis,Blue Studios: Poetry and Its Cultural Work,aswl1_e1
linear,"['essential', 'common']",adj.,"['linearity (n.)', 'linearly (adv.)']","1640s, from French linéaire, from Latin linearis “belonging to a line”, from linea “string, line.”",,['belonging to a line'],"['understand the concept of linear time.', 
'consider non-linear views of time.']","['What does it mean that time is linear?',
'How might memory or foresight complicate the linearity of time?', 
'What are some non-linear views of time?',
'How do we see writers making use of linear and non-linear time in argumentation or narrative?']","Sometimes the linear nature of the signifier is not ob,vious. When I accent a syllable, for instance, it seems that I am concentrating more than one significant element on the same point. But this is an illusion; the syllable and its accent constitute only one phonational act. There is no duality within the act but only different oppositions to what precedes and what follows.

","Ferdinand de Saussure 
",Course in General Linguistics,aswl1_e1
literal,"['essential', 'common']",adj.,['literally (adv.)'],"Late 1400s, “Taking words in their natural meaning” (originally in reference to Scripture and opposed to mystical or allegorical), from Old French literal and directly from Late Latin literalis/litteralis “of or belonging to letters or writing”, from Latin litera/littera “letter, alphabetic sign; literature, books.”, Late 1500s, “of or pertaining to alphabetic letters”., 1590s, “verbally exact”, 1791, Literal-minded.",,['taking words in their natural meaning'],"['know that literal is the opposite of figurative.', 
'consider the term “literal” in relation to concrete and abstract.',
'What is the difference between the literal and the figurative meaning of a text?',
'What is the significance of interpreting an utterance literally or figuratively, e.g. “I nearly died."" ', 
'Is there any danger in confusing the figurative and the literal?',
'Given the nature of language, is it possible to “literally” say anything?']","['What is the difference between the literal and the figurative meaning of a text?',
'What is the significance of interpreting an utterance literally or figuratively, i.e. “I nearly died.” ',
'Is there any danger in confusing the figurative and the literal?',
'Given the nature of language, is it possible to “literally” say anything?']","To understand literally these metaphors or ideas expressed in poetical language, seems to be equally absurd as to conclude, that because painters sometimes represent poets writing from the dictates of a little winged boy or genius, that this same genius did really inform him in a whisper what he was to write; and that he is himself but a mere machine, unconscious of the operations of his own mind.

","Sir Joshua Reynolds
",Discourses on Art,aswl1_e1
metaphor,"['device', 'essential', 'common', 'concept']",n.,"['metaphorical (adj.)', 'metaphorically (adv.)']","Late 1500s, from Middle French metaphore (Old French metafore, 1300s), and directly from Latin metaphora, from Greek metaphora “a transfer”, especially of the sense of one word to a different word, literally “a carrying over”, from metapherein “transfer, carry over; change, alter; to use a word in a strange sense”, from meta- “over, across” + pherein “to carry, bear.”","['meta-', '-pherein']",['a figure of speech in which a word or phrase is applied to an object or action to which it is not literally applicable.'],"['know that metaphor is the opposite of simile.', 
'gauge the impact of a metaphor versus a simile.', 
'employ metaphor in our own writing.', 
'identify the use of metaphor.', 
'explain the potential significance of a metaphor in a  text.', 
'identify people by metaphor rather than name.', 
'consider how all language is metaphorical, i.e, the signifier is the signified or the word is the thing.'
]","['What is the difference between a metaphor and a simile?',
'What does it mean to say that all language is metaphor?',
'Why is metaphor an effective technique in communication?',
'How can metaphor be used in other disciplines such as mathematics or physics?']","
I want to attract the attention of a young child
who is eating bread and butter and getting the butter on her fingers. I call, Hey, butterfingers! This is a figure of speech, a clearly prosaic trope. Now a different example. The child is playing with my glasses and drops them. I call, Hey butterfingers! This figure of speech is a poetic trope. (In the first example, butterfingers is metonymic; in the second, metaphoric-but this is not what I want to stress.)

","Victor Shklovsky
",Art as Technique,aswl1_e1
mood,"['device', 'essential', 'common', 'concept']",n.,['moody (adj.)'],"“Emotional condition, frame of mind”, Old English mod “heart, frame of mind, spirit; courage, arrogance, pride; power, violence”, from Proto-Germanic motha- (cognates: Old Saxon mod “mind, courage”, Old Frisian mod “intellect, mind, intention”, Old Norse moðr “wrath, anger”, Middle Dutch moet, Dutch moed, Old High German muot, German Mut “courage,” Gothic moþs “courage, anger”), of unknown origin. A much more vigorous word in Anglo-Saxon than currently, and used widely in compounds such as modcræftig “intelligent,” modful “proud.”, 1850s, to be in the mood “willing (to do something)”, 1942, mood swings

",,"['emotional condition', 'frame of mind willing (to do something)']","['understand the relationship between mood and tone.', 'identify the mood of a text and provide evidence to support the identification.']","['How can a writer create a mood?',
'What is the relationship between mood and tone?',
'Is there a place for a comedic or light-hearted mood in serious writing?',
'How might sentence length, adjectives, adverbs, and punctuation marks contribute to mood?']","It can be either felt or thought; the two things are similar but different; and it requires practice to do both at once. [...] But it may mean something more important, involving a distinction between ‘sensation’ and ‘feeling’; that what the poet has conveyed is no assembly of grammatical meanings, capable of analysis, but a ‘mood,’ an ‘atmosphere,’ a ‘personality,’ an attitude to life, an undifferentiated mode of being.

","William Empson
",Seven Types of Ambiguity,aswl1_e1
motif,"['device', 'essential', 'common', 'concept']",n.,,"1848, “Theme, predominant feature”, from French motif “dominant idea, theme”.",,"['theme', 'predominant feature; dominant idea', 'theme']","['explore the difference between a leitmotif and a motif.', 'consider the use of motifs in popular culture, fine art, literature, or music.']","['Are leitmotifs and motifs the same thing?', 'What is the difference between them?', 
'How can we use the concept of motif to simplify a leitmotif?', 
'What is the function of a motif?', 
'What does it mean that we can identify patterns in literature?', 'In science?', 
'Do patterns exist or do we create them?', ]","The discovery of various techniques of plot construction (step-by-step structure, parallelism, framing, the weaving of motifs, etc.) clarified the difference between the elements used in the construction of a work and the elements comprising its material (its story, the choice of motifs, the characters, the themes, etc.)

","Boris Eichenbaum
",The Theory of the “Formal Method”,aswl1_e1
nostalgia,"['essential', 'common', 'concept']",n.,['nostalgic (adj.)'],"1770, “Severe homesickness considered as a disease”, from Modern Latin,  a rendering of German heimweh “homesickness” (home + woe), From Greek algos “pain, grief, distress” + nostos “homecoming,”, 1754, French nostalgie is in French army medical manuals., 1830s, used for any intense homesickness: that of sailors, convicts, African slaves.', '1920, Transferred sense (the main modern one) of “wistful yearning for the past”, perhaps from such use of nostalgie in French literature. The longing for a distant place also necessarily involves a separation in time.

",,['homesickness; wistful yearning for the past'],"['consider the relationship between nostalgia and history.', 
'explore the relationship between time, space, and nostalgia.',
'communicate an experience of nostalgia.', 
'consider how nostalgia for a particular time and space reveals identity.']","['What is nostalgia?',
'Are our memories of previous times and spaces reliable?',
'Why do we experience nostalgia?',
'Can we experience nostalgia for a time or space that we have never experienced?']","Behind these concepts and among those who (properly or improperly) employ them, there is a kind of nostalgia; behind the concept of ideology, the nostalgia for a quasi-transparent form of knowledge, free from all error and illusion, and behind the concept of repression, the longing for a form of power innocent of all coercion, discipline and normalisation.

","Michel Foucault
",Truth and Power,aswl1_e1
