category_type,title,verb,feat,topics,description
creative_category,Creative,craft,a lesson plan about,"['concept', 'device', 'event', 'person', 'text']",A lesson plan is an outline of a lesson for an audience of students on a particular topic and usually contains learning goals and an assessment activity.
creative_category,Creative,craft,a crossword puzzle about,"['concept', 'device', 'event', 'person', 'text']",A crossword puzzle is a grid of horizontal and vertical blank squares with clues as to which words are to be entered into the blank squares.
creative_category,Creative,craft,a word search about,"['concept', 'device', 'event', 'person', 'text']",A word search is a grid of letters containing words on a particular topic.
creative_category,Creative,craft,a script for,"['event', 'text']","A script is the dialogue and stage directions for a play, movie, or television show."
creative_category,Creative,craft,a one-act play about,"['person', 'event', 'concept', 'text']",A one-act play is a script of the dialogue and stage directions for a single act of drama that presents and completes the action of the play.
creative_category,Creative,craft,a motto for,['concept'],A motto is generally a one-sentence rule or guide for the actions of an individual or institution.
creative_category,Creative,craft,a maxim about,['concept'],A maxim is generally a one-sentence rule or guide for action in an individual's life.
creative_category,Creative,craft,an aphorism about,['concept'],An aphorism is a wise-saying that presents some general truth about the human condition.
creative_category,Creative,craft,an eye-witness account of,['event'],An eye-witness account narrates an event from the perspective of a person who witnessed the event.
creative_category,Creative,craft,a Socratic dialogue between,"['person', 'concept', 'event']",A Socratic dialogue is a conversation between two or more people where one of the people poses questions that drive the conversation and allow for a deeper understanding of the topic.
internet_category,Internet,create,a blog about,"['person', 'event', 'concept', 'text']","A blog is a public statement and may feature a diary-type commentary and links to articles on other websites. The blog should make clear statements on a topic with some personal conclusions, should acknowledge the audience (which may include regular readers) and may also refer to previous posts."
internet_category,Internet,create,a social media post about,"['person', 'event', 'concept', 'text']","Social media is not merely a place for friends to
communicate, but is widely used by professionals and
corporations. Social media posts may have a variety of
platforms and purposes, but generally they seek to be
shared among different users so that your message
spreads."
internet_category,Internet,create,a website design for,"['person', 'event', 'concept', 'text']",A website design is a plan for the contents of a home page and related sub pages.
internet_category,Internet,create,a podcast about,"['person', 'event', 'concept', 'text']","A podcast is an audio recording of one or more people presenting on a topic in order to inform, persuade, or entertain."
internet_category,Internet,create,a hyperlinked narrative about,"['event', 'concept']","A hyperlinked narrative is a story that contains hyperlinks to other sections of the story, resources, or relevant information."
visual_category,Visual,create,a diagram of,"['event', 'concept', 'text', 'person']","Diagrams can take various forms, but their purpose is to function as a visual explanation of a complex idea or process."
visual_category,Visual,create,a caricature of,['person'],A caricature is a image of a subject depicted in an overly simplified or exaggerated way to highlight defining features of the subject.
visual_category,Visual,create,a collage of,"['event', 'person', 'concept']",A collage is an art form created by cutting images out from their backgrounds and pasting them together to form a new tableau.
visual_category,Visual,create,a metaphor map of ,['device'],Metaphor maps are brainstorming diagrams composed of interconnected bubbles to aid in understanding the potential function of a symbol or metaphor in a text.
visual_category,Visual,create,a map of,"['concept', 'text', 'event']",Maps are generally geographical diagrams that lay out the physical surrounding of a location so that a user can find their way to their destination.
visual_category,Visual,create,a painting of,"['concept', 'text', 'person', 'event']","A painting is a general term for a visual work of art that uses some form of paint, such as water colors, acrylics, or oil paint."
visual_category,Visual,create,a photograph of,"['event', 'concept', 'person']",A photograph is an image created by a camera.
visual_category,Visual,create,a schematic for,"['event', 'concept', 'text', 'device']",A schematic is a simplified visual or diagram that breaks down a complex idea.
visual_category,Visual,create,a pie chart for,"['concept', 'text', 'device']",A piece chart is a type of graph in which a circle is divided into sectors that each represent a part of the whole and is intended to visually organize qualitative or quantitative data.
visual_category,Visual,create,a graph of,['concept'],Graphs take various forms but their purpose is to display quantitative data in an accessible format.
visual_category,Visual,create,a Venn diagram comparing,"['person', 'device', 'concept', 'event']",A Venn diagram is a visual organizers that shows relationships between entities using circles. Where the circles overlap shows a shared relationship between elements.
visual_category,Visual,create,a video about,"['person', 'text', 'device', 'event', 'concept']",A video is a general term for creating a videon on a topic to inform or entertain an audience.
visual_category,Visual,create,a visual description of,"['person', 'text', 'device', 'event', 'concept']",A visual description is a description carried out through visual elements instead of written description.
visual_category,Visual,create,a word cloud about,"['person', 'text', 'device', 'event', 'concept']","A word cloud is a brainstorming device for ideas about the relationship between words, characters, or concepts on a topic or a text."
visual_category,Visual,create,a treasure map for,"['text', 'event', 'concept']",A treasure map is a map of a geographical location that leads the audience to a desired goal through the use of riddles.
visual_category,Visual,create,a poster about,"['person', 'text', 'device', 'event', 'concept']",A poster is a large advertisement composed of visual and textual elements to inform an audience about a particular topic.
visual_category,Visual,create,a slideshow about,"['person', 'text', 'device', 'event', 'concept']",A slideshow is a visual and textual presentation of information to an audience.
poetry_category,Poetry,craft,an epic poem about,"['person', 'device', 'text', 'event']",An epic poem is generally written in verse with a set meter and describes some heroic action using exaggeration and archaic diction.
poetry_category,Poetry,craft,a free verse poem about,"['person', 'device', 'text', 'event']","A free verse poem can take any form, but is generally short, relies heavily on imagery, and does not rhyme."
poetry_category,Poetry,craft,a villanelle about,"['person', 'device', 'text', 'event']","A villanelle is a complex form composed of five three-line stanzas and a final quatrain, with the first and third lines of the first stanza repeating alternately as the final line in the following stanzas. The two refrain lines form the final couplet in the quatrain of the final stanza."
poetry_category,Poetry,craft,a pantoum about,"['person', 'device', 'text', 'event']","A pantoum is a complex form composed of a series of quatrains, with the second and fourth lines of each quatrain repeated as the first and third lines of the next. The second and fourth lines of the final stanza repeat the first and third lines of the first stanza. A pantoum can be of any length."
poetry_category,Poetry,craft,a poem about,"['person', 'device', 'text', 'event']","A poem can take many forms but is generally a short piece of writing written in verse, divided into stanzas, with a rhyme scheme and a set meter."
poetry_category,Poetry,craft,a slam poem about,"['person', 'device', 'text', 'event']",A slam poem is generally told from the perspective of the speaker and has a braggodocious tone as it relates the superior qualities of the speaker.
poetry_category,Poetry,craft,a sestina about,"['person', 'device', 'text', 'event']","A sestina is a complex form composed of six stanzas of six lines each with a final triplet, where all of stanzas end with the same six words to follow a fixed pattern, with all of the six words appearing in the closing three-line stanza. The pattern for the six words at the end of each line is: Stanza One: 1 2 3 4 5 6 Stanza Two: 6 1 5 2 4 3 Stanza Three: 3 6 4 1 2 5 Stanza Four: 5 3 2 6 1 4 Stanza Five: 4 5 1 3 6 2 Stanza Six: 2 4 6 5 3 1 Final Triplet: (6 2) (1 4) (5 3)"
poetry_category,Poetry,craft,an Elizabethan sonnet about,"['person', 'device', 'text', 'event']","A sonnet is a 14-line poem in iambic pentameter composed of two quatrains, a volta, and a final couplet, with the rhyme scheme of ABABCDCDEFEFGG."
business_category,Business and Technical,create,an advertisement for,"['person', 'device', 'text', 'event', 'concept']","The purpose of this text type is to ‘sell’ a concrete
idea (rather than to “win” an abstract argument, as in
a debate or an essay). This will usually involve suggesting
specific practical changes to a given situation; and
the notion of “selling” will involve address to a specific
target audience."
business_category,Business and Technical,create,a blurb about,"['person', 'device', 'text', 'event', 'concept']","A blurb is a form of promotional writing that is
commonly found on the back of books. Blurbs generally
introduce the basic situation of the book, its central
conflict, and hint of a surprise, if only you read the book.
Blurbs also tend toward hyperbole with phrases such as
“a non-stop thrill ride” or “a tale that will haunt you for
years to come.”"
business_category,Business and Technical,create,a calendar for,"['event', 'concept']","A calendar is an organizational time table set up by days, months, and weeks."
business_category,Business and Technical,create,a bar chart for,"['concept', 'text', 'device']",A bar chart presents data with rectangular bars with heights or lengths that relate to the values that they represent. 
business_category,Business and Technical,create,a book cover for,['text'],A book cover includes the title and author of the book and some visual element that reveals the book's topic or content in order to persuade an audience to purchase the book.
business_category,Business and Technical,create,a brochure for,"['person', 'device', 'text', 'event', 'concept']","These formats were designed to quickly and concisely
disseminate information. The goal may be to inform
(e.g. a flyer highlighting an upcoming political rally) or to
promote (e.g. a publicity brochure for a beauty spa)."
business_category,Business and Technical,create,a campaign proposal for,"['person', 'event', 'concept']","A campaign proposal is similar to a business proposal in that it seeks funding from an individual or group, but a campaign is more likely for a non-profit venture rather than one for profit, such as a new community art center or a food bank."
business_category,Business and Technical,create,a business proposal,"['concept', 'event']",A business proposal is a formal written presentation of a plan for a business that attempts to persuade a group or individual to invest in the project.
business_category,Business and Technical,create,a flyer for,"['person', 'device', 'text', 'event', 'concept']","A flyer is a single-page advertisement that is generally handed out on the street or placed in conspicuous locations to raise awareness, announce an event, or sell a product."
business_category,Business and Technical,create,a press release for,"['event', 'person', 'concept']","A press release is essentially a news article that promotes
a company. The relevant information concerning
the company (e.g. release of a new product) should
be presented succinctly and clearly. A successful press
release may be published and provide free publicity."
business_category,Business and Technical,create,a proposal for,"['concept', 'event']",A proposal is a general format for presenting an idea for a project or a product in order to seek its approval and support from an individual or group.
business_category,Business and Technical,create,an informational video about,"['person', 'device', 'text', 'event', 'concept']",Informational videos are generally used as public service announcements to advise on a situation of need or concern in a particular society.
business_category,Business and Technical,create,a promotional video for,"['person', 'device', 'text', 'event', 'concept']",A promotional video is a form of visual advertising that promotes a product or service. The difference between a promotional video and a television advertisement is that promotional videos tend to be longer.
business_category,Business and Technical,create,a poll about,"['person', 'device', 'text', 'event', 'concept']",A poll asks a group of people a question on a single topic in order to discover the percentage of approval or disapproval for an individual or policy decision. The primary difference between a poll and a survey is that a poll is a single question and a survey asks multiple questions.
business_category,Business and Technical,create,a survey about,"['person', 'device', 'text', 'event', 'concept']",A survey asks a group of people multiple questions about a topic in order to discover the approval or disapproval for an individual or policy decision or to ascertain preferences. The primary difference between a poll and a survey is that a poll is a single question and a survey asks multiple questions.
business_category,Business and Technical,create,a logo for,"['person', 'device', 'text', 'event', 'concept']","A logo is a visual representation of a company, organization, or institution."
business_category,Business and Technical,create,an advertising campaign for,"['person', 'device', 'text', 'event', 'concept']",An advertising campaign is a series of advertisements providing promotion for or information on a product or service.
business_category,Business and Technical,create,a marketing campaign for,"['person', 'device', 'text', 'event', 'concept']","A marketing campaign includes not only a series of advertisements, but the various forms of advertising to be used such as television, print, or radio, as well as the locations for the campaign, the partnerships within the campaign, the expected outcomes, and a budget for the campaign."
business_category,Business and Technical,create,a budget for,"['event', 'person']","A budget is a list of expenses categorized by type for a company, institution, or individual."
business_category,Business and Technical,create,a tagline for,"['person', 'device', 'text', 'event', 'concept']","A tagline is a short, punchy, and memorable series of words to advertise a product or service."
business_category,Business and Technical,create,a slogan for,"['person', 'device', 'text', 'event', 'concept']",A slogan is composed of only a few words and serves as the primary advertising hook for a company or institution.
business_category,Business and Technical,create,a testimonial about,"['person', 'device', 'text', 'event', 'concept']","A testimonial is a statement from a user or consumer of some product or service intended to promote that product or service,"
